decile,n,mean_pred,mean_actual,min_pred,max_pred,error_pct
1,3334,3357.83,3434.08,1713.98,4027.58,-2.22
2,3333,4455.34,4920.05,4027.75,4831.39,-9.45
3,3333,5156.67,5720.51,4831.46,5475.97,-9.86
4,3334,5778.17,6481.44,5476.1,6083.29,-10.85
5,3333,6416.84,7215.87,6083.61,6769.45,-11.07
6,3333,7142.04,8093.45,6769.64,7535.69,-11.76
7,3334,7964.51,8927.68,7535.73,8428.97,-10.79
8,3333,9011.16,10143.25,8429.1,9657.24,-11.16
9,3333,10578.77,11986.37,9657.38,11727.19,-11.74
10,3334,14675.94,17318.86,11727.23,26083.01,-15.26
